neighbourhood,geocode
Kensington,"(40.7934345, -73.7220756)"
Midtown,"(40.7601024, -73.97817335537326)"
Harlem,"(40.8078786, -73.9454154)"
Clinton Hill,"(40.6897222, -73.9652778)"
East Harlem,"(40.7947222, -73.9425)"
Murray Hill,"(40.76, -73.8130556)"
Bedford-Stuyvesant,"(40.6834364, -73.9412488)"
Hell's Kitchen,"(40.7644228, -73.9923918)"
Upper West Side,"(40.7870455, -73.9754163)"
Chinatown,"(40.7164913, -73.9962504)"
South Slope,"(40.6604004, -73.9944088)"
West Village,"(40.7341857, -74.00558)"
Williamsburg,"(40.714622, -73.95345)"
Fort Greene,"(40.6907711, -73.9766245)"
Chelsea,"(40.7464906, -74.0015283)"
Crown Heights,"(40.667471, -73.9435662)"
Park Slope,"(40.6701033, -73.9859723)"
Windsor Terrace,"(40.65348695, -73.97719596197135)"
Inwood,"(40.8692579, -73.9204949)"
East Village,"(40.7292688, -73.9873613)"
Greenpoint,"(40.7237134, -73.9509714)"
Bushwick,"(40.6942696, -73.9187482)"
Flatbush,"(40.6520481, -73.959027)"
Lower East Side,"(40.7159357, -73.9868057)"
Prospect-Lefferts Gardens,
Long Island City,"(40.7455316, -73.9484995)"
Kips Bay,"(40.7395463, -73.9770832)"
SoHo,"(40.72288, -73.9987505)"
Upper East Side,"(40.7743831, -73.9646405)"
Prospect Heights,"(40.6778708, -73.9684725)"
Washington Heights,"(40.8401984, -73.9402214)"
Woodside,"(40.7453798, -73.9054145)"
Brooklyn Heights,"(40.696084850000005, -73.9950278391265)"
Carroll Gardens,"(40.6784201, -73.9948021)"
Gowanus,"(40.6791695, -73.9885041)"
Flatlands,"(40.6212155, -73.9348597)"
Cobble Hill,"(40.687547, -73.9973352)"
Flushing,"(40.7654301, -73.8174291)"
Boerum Hill,"(40.68562615, -73.98417065807277)"
Sunnyside,"(40.7398242, -73.9354153)"
DUMBO,"(40.7029052, -73.990118)"
St. George,"(40.644548, -74.0801415)"
Highbridge,
Financial District,"(40.7076681, -74.009271)"
Ridgewood,"(40.7080556, -73.9141667)"
Morningside Heights,"(40.81, -73.9625)"
Jamaica,"(40.7029134, -73.8006429)"
Middle Village,"(40.718215650000005, -73.87867154730415)"
NoHo,"(40.7258746, -73.9939566)"
Ditmars Steinway,
Flatiron District,"(40.7410722, -73.9896534)"
Roosevelt Island,"(40.76133675, -73.95028526170718)"
Greenwich Village,"(40.7319802, -73.9965658)"
Little Italy,"(40.7192728, -73.9982152)"
East Flatbush,"(40.6537148, -73.9304151)"
Tompkinsville,"(40.6364926, -74.0854193)"
Astoria,"(40.7720145, -73.9302673)"
Clason Point,"(40.8147164, -73.8599648)"
Eastchester,"(40.9610563, -73.8064739)"
Kingsbridge,"(40.8787051, -73.9051408)"
Two Bridges,"(40.7112884, -73.9922333)"
Queens Village,"(40.7267692, -73.7415208)"
Rockaway Beach,"(40.5845085, -73.81679)"
Forest Hills,"(40.7288845, -73.84794634707535)"
Nolita,
Woodlawn,"(42.1689463, -79.4303256)"
University Heights,"(42.648923, -73.7788164)"
Gravesend,"(40.5961338, -73.9739426)"
Gramercy,"(40.7355189, -73.9840794)"
Allerton,
East New York,"(40.6667702, -73.8823583)"
Theater District,"(40.7579801, -73.9855452)"
Concourse Village,
Sheepshead Bay,"(40.5912161, -73.9445822)"
Emerson Hill,"(40.6087154, -74.0959751)"
Fort Hamilton,"(40.6187154, -74.0331957)"
Bensonhurst,"(40.6049772, -73.9934061)"
Tribeca,"(40.7153802, -74.0093063)"
Shore Acres,"(41.0026003, -72.5498111)"
Sunset Park,"(40.644337, -74.007532)"
Concourse,
Elmhurst,"(40.7365804, -73.8783932)"
Brighton Beach,"(40.57964365, -73.96111022551311)"
Jackson Heights,"(40.7556561, -73.8857755)"
Cypress Hills,"(40.6770477, -73.8912474)"
St. Albans,"(40.6984364, -73.7606881)"
Arrochar,"(40.5984379, -74.0726412)"
Rego Park,"(40.72286495, -73.86210223976741)"
Wakefield,"(40.8978772, -73.8523569)"
Clifton,"(44.2024023, -74.8863744)"
Bay Ridge,"(40.6320062, -74.0232101)"
Graniteville,"(40.6250747, -74.1487418)"
